Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/08  11:00:00,8.167359175,1.674534901,0,0,5.481224596,1.011599678,54.59187943,54.59187943,,
 01/08  12:00:00,7.597249935,1.10442566,0,0,5.481224596,1.011599678,35.62461362,35.62461362,,
 01/08  13:00:00,7.795045311,1.302221036,0,0,5.481224596,1.011599678,42.27483281,42.27483281,,
 01/08  14:00:00,7.458809108,0.965984833,0,0,5.481224596,1.011599678,31.08001273,31.08001273,,
 01/08  15:00:00,7.825556973,1.332732698,0,0,5.481224596,1.011599678,43.25770694,43.25770694,,
 01/08  16:00:00,7.525787245,1.03296297,0,0,5.481224596,1.011599678,33.33355266,33.33355266,,
 01/08  17:00:00,13.8880427,1.446551757,0,0,5.481224596,1.011599678,47.04784971,47.04784971,,
 01/08  18:00:00,16.58166696,1.16584269,0,0,5.481224596,1.011599678,37.64900541,37.64900541,,
 01/08  19:00:00,16.99518682,1.579362543,0,0,5.481224596,1.011599678,51.44390198,51.44390198,,
 01/08  20:00:00,16.64554654,1.229722268,0,0,5.481224596,1.011599678,39.747053,39.747053,,
 01/08  21:00:00,17.08949084,1.673666568,0,0,5.481224596,1.011599678,54.56597817,54.56597817,,
 01/08  22:00:00,16.71881629,1.302992017,0,0,5.481224596,1.011599678,42.14408831,42.14408831,,
 01/08  23:00:00,17.17071057,1.754886295,0,0,5.481224596,1.011599678,57.23473001,57.23473001,,
 01/08  24:00:00,16.76617183,1.350347556,0,0,5.481224596,1.011599678,43.70371223,43.70371223,,
 01/09  01:00:00,17.18595565,1.770131374,0,0,5.481224596,1.011599678,57.73917482,57.73917482,,
 01/09  02:00:00,16.75129429,1.335470013,0,0,5.481224596,1.011599678,43.19872843,43.19872843,,
 01/09  03:00:00,17.15647495,1.740650676,0,0,5.481224596,1.011599678,56.73093326,56.73093326,,
 01/09  04:00:00,16.78101727,1.365192997,0,0,5.481224596,1.011599678,44.13220208,44.13220208,,
 01/09  05:00:00,17.395194,1.979369725,0,0,5.481224596,1.011599678,64.60803418,64.60803418,,
 01/09  06:00:00,17.05604294,1.640218661,0,0,5.481224596,1.011599678,53.21261546,53.21261546,,
 01/09  07:00:00,19.77836471,4.362540434,0,0,5.481224596,1.011599678,98.94849474,98.94849474,,
 01/09  08:00:00,40.26843721,4.362540434,0,0,21.92489839,5.05799839,79.71951963,79.71951963,,
 01/09  09:00:00,50.82391003,4.362540434,0,0,38.36857217,8.092797425,68.8543346,68.8543346,,
 01/09  10:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,60.68328152,60.68328152,,
 01/09  11:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,56.53191487,56.53191487,,
